song_name,Genre,bpm
Forever in Love With a Ghost,Pop 70s,129
Soho,Pop 70s,82
Carnaby Street,Pop 70s,84
Channel 9,Pop 70s,91
A Winter Solitude,Pop 70s,58
Sunken Curse,Pop 70s,92
On the Boulevard,Pop 70s,151
Tender Loving Cannibals,Pop 70s,125
The Bee's Knees,Pop 70s,100
Queens Highway,Pop 70s,120
From 59 to 109,Pop 70s,150
The Bethesda Terrace,Pop 70s,150
The Story,Pop 70s,105
When All Is Done,Pop 70s,94
Her Name is Edith,Pop 70s,85
What's on Your Mind,Pop 70s,100
Life Is Different,Pop 70s,126
Flowers for Sale,Pop 70s,84
Bella's Quest,Acoustic,58
For Far Too Long,Acoustic,70
Empty Sky,Acoustic,88
Slow Rain,Acoustic,80
Gone with the Wind,Acoustic,70
Back of My Mind,Acoustic,54
Into Pieces,Acoustic,69
As You Make the Bed,Acoustic,84
Old Fashioned,Acoustic,91
Way Back When,Acoustic,76
The Fight,Acoustic,56
Fiery Lake,Acoustic,95
I've Been Thinking of Ways to Leave You,Acoustic,110
Venetian Blinds,Acoustic,95
Oh My Love,Acoustic,80
Hard in America,Acoustic,77
Can I Be Forgiven,Acoustic,73
Golden Things,Acoustic,146
Aint Gonna Live like This No More,Acoustic,70
The Middle,Acoustic,147
Into Thin Air,Classical,111
Twelve Years,Classical,68
Never Before,Classical,155
Other Sides of Glory,Classical,70
Interlude No1,Classical,57
Pregressive Progress,Classical,155
Church Choral,Classical,130
British Grenadiers,Classical,80
Air on the G String,Classical,60
Mother Goose Is Here,Classical,75
Backwards Walk,Classical,106
Puddles and Wellies,Classical,104
Circular,Classical,63
April Snow,Classical,80
The Unforgettable,Classical,91
Matematicas,EDM House,125
Light Wave,EDM House,125
Play With Me,EDM House,120
Earn It,EDM House,128
Matador,EDM House,125
If Only I Was a Poet (SLCT Remix),EDM House,124
Shortcomings (SLCT Remix),EDM House,123
Udub (Pableno Remix),EDM House,120
Another Kingdom Is Gone (Suedo Remix) (Instrumental Version),EDM House,124
Never or Right Now (Suedo Remix) (Instrumental Version),EDM House,124
Flee the Night (Duckmaw Remix) (Instrumental Version),EDM House,117
Make It in Time (DJ Mayson Remix) (Instrumental Version),EDM House,122
Miss Everything (DJ Mayson Remix),EDM House,124
You Give Me Feelings (DJ Mayson Remix) (Instrumental Version),EDM House,123
Move Me Tonight,EDM House,125
Strength,EDM House,126
Follow U,EDM House,126
Watch Me Disappear,Rock 80s,108
Left for Dead,Rock 80s,126
Burn It All Down,Rock 80s,108
Caught by the Waves,Rock 80s,177
Keep Coming Back,Rock 80s,130
Gotta Let Me Know,Rock 80s,110
Be as Young,Rock 80s,93
On the Right Path,Rock 80s,140
These Dreams,Rock 80s,95
The Price You Pay,Rock 80s,125
Spin Me Round,Rock 80s,130
Signs of Time,Rock 80s,120
Ranger in the Night,Rock 80s,98
Master of the Hurricane,Rock 80s,126
Open the Door,Rock 80s,100
Hollywood Nights,Rock 80s,73
The Light,Pop 2020s,122
Liar,Pop 2020s,112
Lost Touch,Pop 2020s,120
Trip,Pop 2020s,118
My Home Is You,Pop 2020s,156
Hiccups,Pop 2020s,82
27,Pop 2020s,140
Walk into Space,Pop 2020s,90
Freak Out!,Pop 2020s,91
Go On Together,Pop 2020s,122
Summer of Our Lives,Pop 2020s,110
Some Things Stay the Same,Pop 2020s,94
Heaven,Pop 2020s,122
Red Handed,Pop 2020s,70
Just Wanna Be Friends,Pop 2020s,99
Lepiten Falls,Pop 2020s,92
Charade,Pop 2020s,120
